id,client_id,job_id,arrival_time,end_time,job_time,queue_time
2549,2,264,1573771471.21075,1573771473.23375,2.02010703086853,0.00289297103881836
2550,7,259,1573771471.35334,1573771473.38626,2.03049993515015,0.00242280960083008
2551,2,265,1573771471.59301,1573771473.69985,2.05669403076172,0.0501430034637451
2552,5,247,1573771471.93593,1573771474.28591,1.94717288017273,0.402801752090454
2553,9,247,1573771472.3847,1573771474.44835,1.88715481758118,0.176489353179932
2554,3,263,1573771472.94534,1573771474.83458,1.88678288459778,0.00245404243469238
2555,4,263,1573771473.28706,1573771475.17047,1.88068151473999,0.00272417068481445
2556,7,260,1573771474.06735,1573771475.93008,1.85917258262634,0.00355744361877441
2557,7,261,1573771474.69446,1573771476.59366,1.89629817008972,0.00289344787597656
2558,4,264,1573771474.7611,1573771476.6787,1.91464805603027,0.00295639038085937
2559,8,246,1573771475.07769,1573771477.00357,1.92244100570679,0.00343728065490723
2560,8,247,1573771475.45466,1573771477.38771,1.92990326881409,0.00313806533813477
2561,6,246,1573771475.85296,1573771477.81143,1.95464515686035,0.00382590293884277
2562,4,265,1573771476.00114,1573771477.96924,1.96508002281189,0.0030210018157959
2563,4,266,1573771476.23766,1573771478.22801,1.98810148239136,0.00224399566650391
2564,4,267,1573771476.64143,1573771478.61484,1.97079277038574,0.00261759757995605
2565,3,264,1573771476.85037,1573771478.83778,1.98440790176392,0.00300478935241699
2566,9,248,1573771477.20989,1573771479.17593,1.96342587471008,0.00261592864990234
2567,6,247,1573771477.52218,1573771479.50242,1.97752737998962,0.00270867347717285
2568,1,261,1573771478.16694,1573771480.15243,1.98147106170654,0.00401639938354492
2569,1,262,1573771478.2103,1573771480.24785,2.03502249717712,0.00252699851989746
2570,9,249,1573771478.29595,1573771480.35399,2.05534315109253,0.00269293785095215
2571,2,266,1573771478.51289,1573771480.55979,2.04457926750183,0.00231385231018066
2572,8,248,1573771478.99168,1573771481.03158,2.03716921806335,0.00273680686950684
2573,8,249,1573771479.04952,1573771481.14093,2.08906865119934,0.00234770774841309
2574,7,262,1573771479.22081,1573771481.23862,2.01569843292236,0.00211596488952637
2575,4,268,1573771479.64524,1573771481.70689,2.05942106246948,0.00222349166870117
2576,6,248,1573771480.06259,1573771482.16933,2.00543284416199,0.101305723190308
2577,9,250,1573771480.11704,1573771482.28858,2.02876210212708,0.142770290374756
2578,6,249,1573771480.18428,1573771482.38631,2.0198814868927,0.182145357131958
2579,4,269,1573771480.44624,1573771482.62591,2.05486178398132,0.124810218811035
2580,5,248,1573771480.59266,1573771483.03904,1.99657535552979,0.44980263710022
2581,7,263,1573771481.09394,1573771483.15646,2.00244522094727,0.0600788593292236
2582,5,249,1573771481.54278,1573771483.52356,1.97802019119263,0.00275301933288574
2583,5,250,1573771482.14647,1573771484.15141,2.00254607200623,0.00239443778991699
2584,7,264,1573771482.4092,1573771484.38286,1.97148251533508,0.00218391418457031
2585,4,270,1573771482.46638,1573771484.44486,1.97585082054138,0.00262975692749023
2586,7,265,1573771483.03972,1573771485.08188,2.039466381073,0.0026857852935791
2587,5,251,1573771483.53003,1573771485.56698,2.03371858596802,0.00323033332824707
2588,2,267,1573771483.60196,1573771485.64168,2.03695964813232,0.0027620792388916
2589,2,268,1573771483.7721,1573771485.78511,2.01026368141174,0.0027463436126709
2590,7,266,1573771484.08733,1573771486.16405,2.07413601875305,0.00258922576904297
2591,9,251,1573771484.1281,1573771486.21412,2.04974031448364,0.0362792015075684
2592,9,252,1573771484.32543,1573771486.4093,2.01101899147034,0.0728466510772705
2593,7,267,1573771484.66439,1573771486.65899,1.99214291572571,0.00246071815490723
2594,5,252,1573771484.98691,1573771487.1055,2.01168990135193,0.106904745101929
2595,6,250,1573771485.29636,1573771487.57077,1.99175691604614,0.282657623291016
2596,9,253,1573771485.365,1573771487.59124,1.93839740753174,0.287842750549316
2597,6,251,1573771486.16456,1573771488.091,1.92362833023071,0.00280380249023437
2598,4,271,1573771486.67718,1573771488.67256,1.99287223815918,0.00250768661499023
2599,3,265,1573771486.72469,1573771488.68586,1.95817255973816,0.00300288200378418
2600,3,266,1573771487.29642,1573771489.363,2.06385922431946,0.00272822380065918
2601,1,263,1573771487.52112,1573771489.55207,2.02794241905212,0.00300502777099609
2602,8,250,1573771487.69516,1573771489.77114,2.07202506065369,0.00394654273986816
2603,4,272,1573771487.79987,1573771489.84291,2.04034614562988,0.00269174575805664
2604,9,254,1573771487.97258,1573771489.96547,1.99016118049622,0.00273346900939941
2605,8,251,1573771488.05856,1573771490.08799,1.98615527153015,0.0432753562927246
2606,4,273,1573771488.1498,1573771490.66205,1.97684001922607,0.53540563583374
2607,5,253,1573771488.82463,1573771490.77762,1.95051598548889,0.00247859954833984
2608,6,252,1573771489.06228,1573771491.30375,1.92902255058289,0.312447786331177
2609,2,269,1573771490.10982,1573771491.94597,1.83340525627136,0.00274968147277832
2610,3,267,1573771490.29466,1573771492.13485,1.83704137802124,0.00315093994140625
2611,2,270,1573771491.1165,1573771492.96379,1.84435486793518,0.00293278694152832
2612,6,253,1573771491.75547,1573771493.6662,1.90768313407898,0.00304555892944336
2613,8,252,1573771491.83886,1573771493.79256,1.95060467720032,0.00309300422668457
2614,0,229,1573771492.03627,1573771494.02568,1.98623204231262,0.00317597389221191
2615,5,254,1573771492.78146,1573771494.79851,2.01392984390259,0.00311875343322754
2616,6,254,1573771492.8546,1573771494.86861,2.01122784614563,0.00278568267822266
2617,6,255,1573771492.96038,1573771494.96612,2.00305581092834,0.00268363952636719
2618,0,230,1573771492.99436,1573771495.01868,2.02142024040222,0.00289702415466309
2619,8,253,1573771493.34555,1573771495.35728,2.0092396736145,0.00248432159423828
2620,3,268,1573771493.76253,1573771495.80565,2.04053354263306,0.00258994102478027
